year,open,vacant,공실률%
2006,192978.0,28510.0,12.87
2008,178890.0,23663.0,11.68
2010,175196.0,21811.0,11.07
2012,138225.0,15740.0,10.22
2013,142270.0,17180.0,10.77
2014,183328.0,18187.0,9.03
2015,186620.0,18821.0,9.16
2016,188774.0,18807.0,9.06
2017,190286.0,17504.0,8.42
2018,184412.0,17587.0,8.71
2019,182617.0,19818.0,9.79
2020,181975.0,20615.0,10.18
2021,181574.0,22663.0,11.1
2022,174854.0,22681.0,11.48
2023,171529.0,22846.0,11.75
