code,y21,y25,dsale,dong,dpop
3130316,17648582241.0,17065533524.0,-0.03359460776904811,11710550,-0.17938184769436322
3130317,37933278178.0,34939531788.0,-0.08220987485783818,11710550,-0.17938184769436322
3130318,112935019981.0,149711908006.0,0.28190022516528723,11740610,0.0274510779246685
3130319,20051395200.0,17563087384.0,-0.13249934547950074,11740650,-0.0737777826394253
3130320,54555398371.0,63390090984.0,0.15009088632944692,11740570,-0.04770848303443076
3130321,1966020783.0,1679655171.0,-0.15742307588941887,11740640,-0.09589574066584787
3130322,16331013878.0,8940940156.0,-0.6024252453693827,11740620,-0.029789032732868218
3130323,51739354379.0,56189563482.0,0.08251233798674586,11740660,0.03837940348771079
3130324,22678081724.0,26502302993.0,0.15583273940043904,11740685,0.12545883899875368
3130325,17416780424.0,13294771553.0,-0.2700632920555685,11740530,-0.1213292608405525
3130326,46452141168.0,59106237654.0,0.2409139025166818,11740560,0.09611225875409816
3130327,75345179723.0,69035046470.0,-0.08746565569669873,11140615,-0.15739297086508142
