market,2006,2008,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
경동시장,54.0,620.0,620.0,390.0,550.0,580.0,530.0,489.0,500.0,516.0,516.0,362.0,362.0,362.0,362.0
서울약령시장,,,1041.0,,,1029.0,1050.0,1300.0,920.0,912.0,912.0,957.0,951.0,951.0,951.0
청량리전통시장,,,70.0,70.0,66.0,62.0,69.0,73.0,73.0,73.0,70.0,73.0,62.0,65.0,61.0
청량리종합시장,107.0,105.0,105.0,131.0,131.0,107.0,107.0,107.0,105.0,135.0,135.0,135.0,143.0,143.0,144.0
