market,매출증가%,건수증가%,객단가증가%,객단가21,객단가25
서울약령시장,-11.613234443255504,28.1782344272691,-31.04385783461785,107786.76507349133,74325.59495954316
경동광성상가,45.84021552511373,64.37467838196102,-11.275740910518085,43463.93393533266,38563.0533552658
경동시장,44.28080335310807,108.73449276496929,-30.878312711083524,40411.09735155911,27932.832341364297
청량리수산시장,194.47356084739332,209.74866222235508,-4.931450313737407,41953.23987847897,39884.33669886871
청량리종합시장,47.63024891665768,79.43507178887317,-17.72497570020072,31679.94793129069,26064.684858633176
청량리농수산물시장,100.90783979996299,220.05735229785714,-37.22755051319966,55312.5770433301,34721.05948437191
동서시장,142.50933116257224,329.8401887462865,-43.581512964178984,40929.77716775924,23091.961025182678
청량리청과물시장,84.59764507332046,200.34846307704356,-38.53884145697507,34964.683138586224,21489.699337872786
청량리전통시장,77.06682033378544,71.79122842807377,3.070932057465603,24391.01873720145,25140.050350744612
