market,quarter,당월_매출_금액,매출_억
청량리전통시장,20234,13415516929,134.15516929
청량리전통시장,20241,15351542890,153.5154289
청량리전통시장,20242,16038508315,160.38508315
청량리전통시장,20243,14063518780,140.6351878
청량리전통시장,20244,15334068938,153.34068938
청량리전통시장,20251,16063095976,160.63095976
청량리전통시장,20252,16635256793,166.35256793
청량리전통시장,20253,16566894598,165.66894598
청량리전통시장,20254,17633759039,176.33759039
청량리종합시장,20211,121583373442,1215.83373442
청량리종합시장,20212,110956420149,1109.56420149
청량리종합시장,20213,136617447203,1366.17447203
청량리종합시장,20214,154386497437,1543.86497437
청량리종합시장,20221,154369962144,1543.69962144
청량리종합시장,20222,146521279353,1465.21279353
청량리종합시장,20223,171065693472,1710.65693472
청량리종합시장,20224,159713912277,1597.13912277
청량리종합시장,20231,151417554213,1514.17554213
청량리종합시장,20232,153531243087,1535.31243087
청량리종합시장,20233,170616605378,1706.16605378
청량리종합시장,20234,165169529803,1651.69529803
청량리종합시장,20241,181514879119,1815.14879119
청량리종합시장,20242,171574977763,1715.74977763
청량리종합시장,20243,181024048753,1810.24048753
청량리종합시장,20244,178905965332,1789.05965332
청량리종합시장,20251,196952256408,1969.52256408
청량리종합시장,20252,181472323159,1814.72323159
청량리종합시장,20253,201346952447,2013.46952447
청량리종합시장,20254,193137391924,1931.37391924
청량리청과물시장,20211,118790954216,1187.90954216
청량리청과물시장,20212,79992090347,799.92090347
청량리청과물시장,20213,139928899187,1399.28899187
청량리청과물시장,20214,92106623306,921.06623306
청량리청과물시장,20221,104524186408,1045.24186408
청량리청과물시장,20222,87459878123,874.59878123
청량리청과물시장,20223,130732309356,1307.32309356
청량리청과물시장,20224,92133230585,921.33230585
청량리청과물시장,20231,129106484945,1291.06484945
청량리청과물시장,20232,134423185174,1344.23185174
청량리청과물시장,20233,169269161021,1692.69161021
청량리청과물시장,20234,146908527270,1469.0852727
청량리청과물시장,20241,179716633616,1797.16633616
청량리청과물시장,20242,158809199725,1588.09199725
청량리청과물시장,20243,176803852545,1768.03852545
청량리청과물시장,20244,168769879008,1687.69879008
청량리청과물시장,20251,216445093331,2164.45093331
청량리청과물시장,20252,179180191685,1791.80191685
청량리청과물시장,20253,202013285966,2020.13285966
청량리청과물시장,20254,197642358342,1976.42358342
