market,s0,s1,SE,IM,CE,실제증감,SE_억,IM_억,CE_억,실제증감_억,IM_기여%,CE_기여%
서울약령시장,237276179721.0,203398425430.0,52456207836.33541,39142184281.470924,-125476146408.80634,-33877754291.0,524.5620783633541,391.42184281470924,-1254.7614640880633,-338.77754291,16.49646598638602,-52.881897608241516
청량리종합시장,523543738231.0,772908923938.0,115743262456.22162,126052615696.0558,7569307554.722599,249365185707.0,1157.4326245622162,1260.526156960558,75.69307554722599,2493.65185707,24.076807053785902,1.445783227261681
경동광성상가,235061690973.0,342814476732.0,51966636223.40358,37777401587.39337,18008747948.20306,107752785759.0,519.6663622340358,377.7740158739337,180.0874794820306,1077.52785759,16.07127109101441,7.661285798489217
경동시장,280804268878.0,405146654987.0,62079249197.76898,32596650226.50829,29666486684.722736,124342386109.0,620.7924919776898,325.9665022650829,296.66486684722736,1243.42386109,11.608317194305345,10.564827523192614
청량리청과물시장,430818567056.0,795074189403.0,95243898143.5675,123539685822.07906,145472038381.35342,364255622347.0,952.438981435675,1235.3968582207906,1454.7203838135342,3642.55622347,28.6755714049856,33.76642733284154
청량리전통시장,37781785588.0,64632749776.0,8352668184.233176,-1066975127.5117154,19565271131.278538,26850964188.0,83.52668184233177,-10.669751275117154,195.65271131278539,268.50964188,-2.8240463252499133,51.784929766508256
청량리농수산물시장,192443407424.0,386633892693.0,42544731580.03427,44025383939.601974,107620369749.36374,194190485269.0,425.4473158003427,440.25383939601977,1076.2036974936375,1941.90485269,22.877054885337415,55.92312627901547
동서시장,239368551636.0,580491073586.0,52918782276.69099,71817777146.50911,216385962526.7999,341122521950.0,529.1878227669099,718.177771465091,2163.859625267999,3411.2252195,30.00301278328328,90.39865974367886
청량리수산시장,56135113087.0,165303066393.0,12410159175.987654,1595527068.4710474,95162267061.5413,109167953306.0,124.10159175987654,15.955270684710474,951.6226706154131,1091.67953306,2.8422977718032714,169.52360443997995
